round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
154,duogesto,32,16,11,2024-10-10T09:03:16.013Z
158,Diese-1,30,9,20,2024-10-10T09:02:01.279Z
164,APT-Finals-1,0,0,,
164,duogesto,33,15,11,2024-10-10T09:03:16.013Z
169,CookingNonna,6,35,15,2024-10-10T11:33:10.113Z
169,APT-Finals-2,12,27,3,2024-10-10T11:07:23.488Z
169,fonograph,27,18,20,2024-10-10T09:19:01.906Z
174,APT-Finals-2,13,25,3,2024-10-10T11:07:23.488Z
174,fonograph,27,18,20,2024-10-10T09:19:01.906Z
179,APT-Finals-2,12,24,3,2024-10-10T11:07:23.488Z
179,fonograph,28,18,20,2024-10-10T09:19:01.906Z
184,CookingNonna,7,34,15,2024-10-10T11:33:10.113Z
184,fonograph,28,18,20,2024-10-10T09:19:01.906Z
17,duogesto,14,35,11,2024-10-10T09:03:16.013Z
154,APT-Finals-2,12,26,3,2024-10-10T11:07:23.488Z
154,Sanromolo,4,29,27,2024-10-10T11:10:45.976Z
159,APT-Finals-1,0,0,,
159,duogesto,33,14,11,2024-10-10T09:03:16.013Z
164,Diese-1,31,9,20,2024-10-10T09:02:01.279Z
169,Diese-2,0,0,,
174,Diese-2,0,0,,
179,Diese-2,0,0,,
179,Sanromolo,6,32,27,2024-10-10T11:10:45.976Z
184,Diese-1,32,9,20,2024-10-10T09:02:01.279Z
17,fonograph,2,32,20,2024-10-10T09:19:01.906Z
18,APT-Finals-1,0,0,,
18,APT-Finals-2,0,0,,
18,Diese-2,0,0,,
18,Diese-1,9,31,20,2024-10-10T09:02:01.279Z
18,CookingNonna,0,0,,
18,duogesto,18,33,11,2024-10-10T09:03:16.013Z
18,fonograph,2,32,20,2024-10-10T09:19:01.906Z
18,Sanromolo,0,0,,
19,APT-Finals-1,0,0,,
19,Diese-2,0,0,,
19,Diese-1,4,27,20,2024-10-10T09:02:01.279Z
19,CookingNonna,0,0,,
19,APT-Finals-2,0,0,,
19,duogesto,18,34,11,2024-10-10T09:03:16.013Z
19,fonograph,3,33,20,2024-10-10T09:19:01.906Z
19,Sanromolo,0,0,,
20,APT-Finals-1,0,0,,
20,APT-Finals-2,0,0,,
20,CookingNonna,0,0,,
20,Diese-2,0,0,,
20,Diese-1,3,28,20,2024-10-10T09:02:01.279Z
20,duogesto,18,33,11,2024-10-10T09:03:16.013Z
20,Sanromolo,0,0,,
20,fonograph,3,32,20,2024-10-10T09:19:01.906Z
21,APT-Finals-1,0,0,,
21,APT-Finals-2,0,0,,
21,Diese-1,3,27,20,2024-10-10T09:02:01.279Z
21,CookingNonna,0,0,,
21,Diese-2,0,0,,
21,duogesto,17,33,11,2024-10-10T09:03:16.013Z
21,fonograph,3,31,20,2024-10-10T09:19:01.906Z
21,Sanromolo,0,0,,
22,APT-Finals-1,0,0,,
22,CookingNonna,0,0,,
22,APT-Finals-2,0,0,,
22,Diese-2,0,0,,
22,Diese-1,2,27,20,2024-10-10T09:02:01.279Z
22,duogesto,19,32,11,2024-10-10T09:03:16.013Z
22,fonograph,3,31,20,2024-10-10T09:19:01.906Z
22,Sanromolo,0,0,,
23,APT-Finals-1,0,0,,
23,APT-Finals-2,0,0,,
23,Diese-1,2,32,20,2024-10-10T09:02:01.279Z
23,Diese-2,0,0,,
23,CookingNonna,0,0,,
23,duogesto,19,30,11,2024-10-10T09:03:16.013Z
23,fonograph,4,31,20,2024-10-10T09:19:01.906Z
23,Sanromolo,0,0,,
24,APT-Finals-1,0,0,,
24,APT-Finals-2,0,0,,
24,Diese-2,0,0,,
24,CookingNonna,0,0,,
24,Diese-1,4,31,20,2024-10-10T09:02:01.279Z
24,duogesto,19,31,11,2024-10-10T09:03:16.013Z
24,Sanromolo,0,0,,
24,fonograph,4,31,20,2024-10-10T09:19:01.906Z
25,APT-Finals-1,0,0,,
25,APT-Finals-2,0,0,,
25,CookingNonna,0,0,,
25,Diese-2,0,0,,
25,Diese-1,4,31,20,2024-10-10T09:02:01.279Z
25,duogesto,20,31,11,2024-10-10T09:03:16.013Z
25,fonograph,4,30,20,2024-10-10T09:19:01.906Z
25,Sanromolo,0,0,,
26,APT-Finals-1,0,0,,
26,APT-Finals-2,0,0,,
26,CookingNonna,0,0,,
26,Diese-1,5,30,20,2024-10-10T09:02:01.279Z
26,Diese-2,0,0,,
26,duogesto,21,29,11,2024-10-10T09:03:16.013Z
26,Sanromolo,0,0,,
26,fonograph,4,30,20,2024-10-10T09:19:01.906Z
27,APT-Finals-1,0,0,,
27,APT-Finals-2,0,0,,
27,CookingNonna,0,0,,
27,Diese-1,6,30,20,2024-10-10T09:02:01.279Z
27,Diese-2,0,0,,
27,duogesto,21,29,11,2024-10-10T09:03:16.013Z
27,fonograph,4,30,20,2024-10-10T09:19:01.906Z
27,Sanromolo,0,0,,
28,APT-Finals-1,0,0,,
28,APT-Finals-2,0,0,,
28,Diese-1,6,30,20,2024-10-10T09:02:01.279Z
28,CookingNonna,0,0,,
28,Diese-2,0,0,,
28,duogesto,21,29,11,2024-10-10T09:03:16.013Z
28,Sanromolo,0,0,,
28,fonograph,5,33,20,2024-10-10T09:19:01.906Z
29,APT-Finals-1,0,0,,
29,CookingNonna,0,0,,
29,Diese-2,0,0,,
29,APT-Finals-2,0,0,,
29,Diese-1,6,30,20,2024-10-10T09:02:01.279Z
29,duogesto,22,28,11,2024-10-10T09:03:16.013Z
29,Sanromolo,0,0,,
29,fonograph,5,33,20,2024-10-10T09:19:01.906Z
30,APT-Finals-1,0,0,,
30,APT-Finals-2,0,0,,
30,Diese-2,0,0,,
30,CookingNonna,0,0,,
30,Diese-1,6,30,20,2024-10-10T09:02:01.279Z
30,duogesto,22,28,11,2024-10-10T09:03:16.013Z
30,fonograph,5,34,20,2024-10-10T09:19:01.906Z
30,Sanromolo,0,0,,
31,APT-Finals-1,0,0,,
31,Diese-1,7,28,20,2024-10-10T09:02:01.279Z
31,APT-Finals-2,0,0,,
31,CookingNonna,0,0,,
31,Diese-2,0,0,,
31,duogesto,24,27,11,2024-10-10T09:03:16.013Z
31,fonograph,5,34,20,2024-10-10T09:19:01.906Z
31,Sanromolo,0,0,,
32,APT-Finals-1,0,0,,
32,CookingNonna,0,0,,
32,APT-Finals-2,0,0,,
32,Diese-1,9,25,20,2024-10-10T09:02:01.279Z
32,Diese-2,0,0,,
32,duogesto,23,26,11,2024-10-10T09:03:16.013Z
32,fonograph,5,31,20,2024-10-10T09:19:01.906Z
32,Sanromolo,0,0,,
33,APT-Finals-1,0,0,,
33,APT-Finals-2,0,0,,
33,CookingNonna,0,0,,
33,Diese-2,0,0,,
33,Diese-1,9,26,20,2024-10-10T09:02:01.279Z
33,duogesto,23,25,11,2024-10-10T09:03:16.013Z
33,fonograph,7,32,20,2024-10-10T09:19:01.906Z
33,Sanromolo,0,0,,
34,APT-Finals-1,0,0,,
34,CookingNonna,0,0,,
34,Diese-1,9,26,20,2024-10-10T09:02:01.279Z
34,Diese-2,0,0,,
34,APT-Finals-2,0,0,,
34,duogesto,23,25,11,2024-10-10T09:03:16.013Z
34,Sanromolo,0,0,,
34,fonograph,8,32,20,2024-10-10T09:19:01.906Z
35,APT-Finals-1,0,0,,
35,APT-Finals-2,0,0,,
35,CookingNonna,0,0,,
35,Diese-1,9,30,20,2024-10-10T09:02:01.279Z
35,Diese-2,0,0,,
35,duogesto,24,25,11,2024-10-10T09:03:16.013Z
35,Sanromolo,0,0,,
35,fonograph,8,33,20,2024-10-10T09:19:01.906Z
36,APT-Finals-1,0,0,,
36,APT-Finals-2,0,0,,
36,CookingNonna,0,0,,
